iso3c,country,year,gdp_pc_current_usd,health_exp_pct_gdp,htn_prevalence_pct,htn_treatment_pct,country_id,year_c,log_gdp,log_gdp_z,health_exp_z,year_z,htn_prev_z,htn_treat_z,post_htn_prevalence_pct,post_htn_treatment_pct,cf_htn_treatment_pct_plus20
ARG,Argentina,2015,10315.86,9.49,45.9,49.9,0,-2.5,9.241437795757538,-0.08214040744418769,0.6608784521785533,-1.212678125181665,1.6758182507131492,0.21900450230486593,46.03908576393111,47.40736545311187,67.40736545311188
ARG,Argentina,2015,10315.86,9.49,45.9,41.8,0,-2.5,9.241437795757538,-0.08214040744418769,0.6608784521785533,-1.212678125181665,1.6758182507131492,-0.2802271492906539,46.04660574689209,41.74655068946312,61.74655068946312
ARG,Argentina,2015,10315.86,9.49,45.9,35.0,0,-2.5,9.241437795757538,-0.08214040744418769,0.6608784521785533,-1.212678125181665,1.6758182507131492,-0.6993352024819542,46.00279173353785,36.96238113022421,56.96238113022421
ARG,Argentina,2015,10315.86,9.49,51.7,49.9,0,-2.5,9.241437795757538,-0.08214040744418769,0.6608784521785533,-1.212678125181665,2.471692413124002,0.21900450230486593,50.10393401454527,47.49008355167472,67.49008355167473
ARG,Argentina,2015,10315.86,9.49,51.7,41.8,0,-2.5,9.241437795757538,-0.08214040744418769,0.6608784521785533,-1.212678125181665,2.471692413124002,-0.2802271492906539,50.08357102437215,41.827473657686575,61.827473657686575
ARG,Argentina,2015,10315.86,9.49,51.7,35.0,0,-2.5,9.241437795757538,-0.08214040744418769,0.6608784521785533,-1.212678125181665,2.471692413124002,-0.6993352024819542,50.0790160542821,37.07589364166907,57.07589364166907
ARG,Argentina,2015,10315.86,9.49,40.4,49.9,0,-2.5,9.241437795757538,-0.08214040744418769,0.6608784521785533,-1.212678125181665,0.9211099932545824,0.21900450230486593,42.182598564944314,47.32571472193166,67.32571472193166
ARG,Argentina,2015,10315.86,9.49,40.4,41.8,0,-2.5,9.241437795757538,-0.08214040744418769,0.6608784521785533,-1.212678125181665,0.9211099932545824,-0.2802271492906539,42.19788171931975,41.62391375288757,61.62391375288757
ARG,Argentina,2015,10315.86,9.49,40.4,35.0,0,-2.5,9.241437795757538,-0.08214040744418769,0.6608784521785533,-1.212678125181665,0.9211099932545824,-0.6993352024819542,42.1825029911006,36.848967965470756,56.848967965470756
ARG,Argentina,2016,10165.88,9.37,40.6,49.5,0,-1.5,9.226792293884454,-0.09464697873891745,0.6242120974216103,-0.7276068751089989,0.9485539298894398,0.19435108741126012,42.282889993115674,47.021763629332256,67.02176362933226
ARG,Argentina,2016,10165.88,9.37,40.6,41.7,0,-1.5,9.226792293884454,-0.09464697873891745,0.6242120974216103,-0.7276068751089989,0.9485539298894398,-0.286390503014055,42.307151207082306,41.611223040135535,61.611223040135535
ARG,Argentina,2016,10165.88,9.37,40.6,35.1,0,-1.5,9.226792293884454,-0.09464697873891745,0.6242120974216103,-0.7276068751089989,0.9485539298894398,-0.6931718487585526,42.279768290298165,36.98681453023906,56.98681453023906
ARG,Argentina,2016,10165.88,9.37,46.3,49.5,0,-1.5,9.226792293884454,-0.09464697873891745,0.6242120974216103,-0.7276068751089989,1.730706123982863,0.19435108741126012,46.265222867271376,47.16561511164775,67.16561511164775
ARG,Argentina,2016,10165.88,9.37,46.3,41.7,0,-1.5,9.226792293884454,-0.09464697873891745,0.6242120974216103,-0.7276068751089989,1.730706123982863,-0.286390503014055,46.25025819779023,41.71284830269725,61.71284830269725
ARG,Argentina,2016,10165.88,9.37,46.3,35.1,0,-1.5,9.226792293884454,-0.09464697873891745,0.6242120974216103,-0.7276068751089989,1.730706123982863,-0.6931718487585526,46.274496576068685,37.09578046363712,57.09578046363712
ARG,Argentina,2016,10165.88,9.37,52.3,49.5,0,-1.5,9.226792293884454,-0.09464697873891745,0.6242120974216103,-0.7276068751089989,2.554024223028572,0.19435108741126012,50.47667699631071,47.26396908031956,67.26396908031955
ARG,Argentina,2016,10165.88,9.37,52.3,41.7,0,-1.5,9.226792293884454,-0.09464697873891745,0.6242120974216103,-0.7276068751089989,2.554024223028572,-0.286390503014055,50.4929443150339,41.78689072597846,61.78689072597846
ARG,Argentina,2016,10165.88,9.37,52.3,35.1,0,-1.5,9.226792293884454,-0.09464697873891745,0.6242120974216103,-0.7276068751089989,2.554024223028572,-0.6931718487585526,50.47275946023916,37.15762303291272,57.15762303291272
ARG,Argentina,2017,11017.14,9.4,46.7,41.5,0,-0.5,9.30720752089298,-0.025976148713460972,0.6333786861108464,-0.24253562503633297,1.7855939972525776,-0.29871721046085814,46.48632752956467,41.876023929900505,61.876023929900505
ARG,Argentina,2017,11017.14,9.4,46.7,35.2,0,-0.5,9.30720752089298,-0.025976148713460972,0.6333786861108464,-0.24253562503633297,1.7855939972525776,-0.6870084950351512,46.46753526558284,37.44142588157009,57.44142588157009
ARG,Argentina,2017,11017.14,9.4,46.7,49.1,0,-0.5,9.30720752089298,-0.025976148713460972,0.6333786861108464,-0.24253562503633297,1.7855939972525776,0.16969767251765427,46.488795757994524,47.16990080548399,67.16990080548399
ARG,Argentina,2017,11017.14,9.4,52.8,41.5,0,-0.5,9.30720752089298,-0.025976148713460972,0.6333786861108464,-0.24253562503633297,2.6226340646157147,-0.29871721046085814,50.758294931193305,41.98977137918164,61.98977137918164
ARG,Argentina,2017,11017.14,9.4,52.8,35.2,0,-0.5,9.30720752089298,-0.025976148713460972,0.6333786861108464,-0.24253562503633297,2.6226340646157147,-0.6870084950351512,50.71610818230178,37.576408111969734,57.576408111969734
ARG,Argentina,2017,11017.14,9.4,52.8,49.1,0,-0.5,9.30720752089298,-0.025976148713460972,0.6333786861108464,-0.24253562503633297,2.6226340646157147,0.16969767251765427,50.77775562614249,47.29146448462134,67.29146448462134
ARG,Argentina,2017,11017.14,9.4,40.8,41.5,0,-0.5,9.30720752089298,-0.025976148713460972,0.6333786861108464,-0.24253562503633297,0.9759978665242962,-0.29871721046085814,42.36669390951737,41.76250955090617,61.76250955090617
ARG,Argentina,2017,11017.14,9.4,40.8,35.2,0,-0.5,9.30720752089298,-0.025976148713460972,0.6333786861108464,-0.24253562503633297,0.9759978665242962,-0.6870084950351512,42.34955932291281,37.37079021698542,57.37079021698542
ARG,Argentina,2017,11017.14,9.4,40.8,49.1,0,-0.5,9.30720752089298,-0.025976148713460972,0.6333786861108464,-0.24253562503633297,0.9759978665242962,0.16969767251765427,42.35344669496993,47.10327539621678,67.10327539621679
ARG,Argentina,2018,10374.68,9.71,53.4,41.3,0,0.5,9.247123501249739,-0.0772850817806991,0.7281001025662819,0.24253562503633297,2.7049658745202856,-0.3110439179076613,51.179811228295144,41.8405259750772,61.8405259750772
ARG,Argentina,2018,10374.68,9.71,53.4,35.2,0,0.5,9.247123501249739,-0.0772850817806991,0.7281001025662819,0.24253562503633297,2.7049658745202856,-0.6870084950351512,51.186540876411044,37.592589967374664,57.592589967374664
ARG,Argentina,2018,10374.68,9.71,53.4,48.6,0,0.5,9.247123501249739,-0.0772850817806991,0.7281001025662819,0.24253562503633297,2.7049658745202856,0.1388809039006469,51.188524683938745,46.96647721514439,66.96647721514438
ARG,Argentina,2018,10374.68,9.71,41.0,41.3,0,0.5,9.247123501249739,-0.0772850817806991,0.7281001025662819,0.24253562503633297,1.0034418031591534,-0.3110439179076613,42.503880310966785,41.64173747332268,61.64173747332268
ARG,Argentina,2018,10374.68,9.71,41.0,35.2,0,0.5,9.247123501249739,-0.0772850817806991,0.7281001025662819,0.24253562503633297,1.0034418031591534,-0.6870084950351512,42.49824823599054,37.38243450302825,57.38243450302825
ARG,Argentina,2018,10374.68,9.71,41.0,48.6,0,0.5,9.247123501249739,-0.0772850817806991,0.7281001025662819,0.24253562503633297,1.0034418031591534,0.1388809039006469,42.50572030179235,46.799093937473906,66.79909393747391
ARG,Argentina,2018,10374.68,9.71,47.1,41.3,0,0.5,9.247123501249739,-0.0772850817806991,0.7281001025662819,0.24253562503633297,1.8404818705222914,-0.3110439179076613,46.75716518049402,41.76042897457079,61.76042897457079
ARG,Argentina,2018,10374.68,9.71,47.1,35.2,0,0.5,9.247123501249739,-0.0772850817806991,0.7281001025662819,0.24253562503633297,1.8404818705222914,-0.6870084950351512,46.7972975740747,37.45689854867711,57.45689854867711
ARG,Argentina,2018,10374.68,9.71,47.1,48.6,0,0.5,9.247123501249739,-0.0772850817806991,0.7281001025662819,0.24253562503633297,1.8404818705222914,0.1388809039006469,46.766045767885124,46.86457010151949,66.86457010151949
ARG,Argentina,2019,11250.06,9.43,54.0,48.1,0,1.5,9.328128740951676,-0.008110408604021664,0.6425452748000818,0.7276068751089989,2.7872976844248565,0.1080641352836395,51.54545565786754,46.86159465218631,66.86159465218631
ARG,Argentina,2019,11250.06,9.43,54.0,41.0,0,1.5,9.328128740951676,-0.008110408604021664,0.6425452748000818,0.7276068751089989,2.7872976844248565,-0.3295339790778655,51.508466625375746,41.874106474762606,61.874106474762606
ARG,Argentina,2019,11250.06,9.43,54.0,35.3,0,1.5,9.328128740951676,-0.008110408604021664,0.6425452748000818,0.7276068751089989,2.7872976844248565,-0.68084514131175,51.492065359358214,37.88470170529544,57.88470170529544
ARG,Argentina,2019,11250.06,9.43,47.5,48.1,0,1.5,9.328128740951676,-0.008110408604021664,0.6425452748000818,0.7276068751089989,1.8953697437920052,0.1080641352836395,46.96747521321832,46.751449198297124,66.75144919829712
ARG,Argentina,2019,11250.06,9.43,47.5,41.0,0,1.5,9.328128740951676,-0.008110408604021664,0.6425452748000818,0.7276068751089989,1.8953697437920052,-0.3295339790778655,46.96223812324159,41.772801440885374,61.772801440885374
ARG,Argentina,2019,11250.06,9.43,47.5,35.3,0,1.5,9.328128740951676,-0.008110408604021664,0.6425452748000818,0.7276068751089989,1.8953697437920052,-0.68084514131175,46.956190135246636,37.79005181917109,57.79005181917109
ARG,Argentina,2019,11250.06,9.43,41.2,48.1,0,1.5,9.328128740951676,-0.008110408604021664,0.6425452748000818,0.7276068751089989,1.030885739794011,0.1080641352836395,42.5565161685724,46.660851191505664,66.66085119150566
